,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,default_request_term,person_gender_FEMALE,person_gender_MALE,credit_history_marital_status_C,credit_history_marital_status_D,credit_history_marital_status_S,credit_history_marital_status_V,var_max_sbs_qual_12m_CPP,var_max_sbs_qual_12m_DEFICIENTE,var_max_sbs_qual_12m_DUDOSO,var_max_sbs_qual_12m_NORMAL,var_max_sbs_qual_12m_PERDIDA,person_degree_type_desc_Carrera Tecnica,person_degree_type_desc_Postgrado,person_degree_type_desc_Primaria,person_degree_type_desc_Secundaria,person_degree_type_desc_Universitaria
148,0,0.0996399597403387,0.5454545454545454,0.08547008547008546,6,0.08683739020233362,0.08098552954139993,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
149,0,0.09806334817176555,0.1477272727272727,0.07692307692307693,3,0.04251627845999214,0.10951440630356454,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
150,1,0.1159924074061565,0.19318181818181818,0.08547008547008546,3,0.0470218065813049,0.10224344397803198,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
151,1,0.09478718445814954,0.8863636363636364,0.042735042735042736,3,0.02854520823318621,0.08054803466610698,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
152,0,0.08208782820743182,0.8409090909090909,0.1282051282051282,6,0.15398330638465238,0.06802474316997235,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
153,0,0.08163659576192761,0.011363636363636364,0.042735042735042736,3,0.030188349429707648,0.06950128845279323,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
154,0,0.13924033531704483,0.22727272727272727,0.11111111111111112,6,0.10498623432242277,0.12289385619337462,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
155,0,0.10683130796614407,0.07954545454545454,0.0,1,0.0,0.08907918518907196,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
156,1,0.08927782543789137,0.20454545454545453,0.358974358974359,12,0.5597648909670936,0.06121663693287159,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
157,0,0.06152973203007316,0.22727272727272727,0.042735042735042736,6,0.0953109295109907,0.04380050372546962,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
158,1,0.051114908909138806,0.18181818181818182,0.042735042735042736,6,0.0953109295109907,0.03933168922937,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
159,1,0.08492086544761854,0.875,0.15384615384615385,6,0.13523576454136257,0.08853569804456571,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
160,0,0.06778078749518708,0.8863636363636364,0.08547008547008546,6,0.08683739020233362,0.05356455731626264,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
161,0,0.10357676017806118,0.09090909090909091,0.17094017094017094,6,0.14769042520648518,0.09875875982089762,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
162,0,0.09748377116840834,0.5681818181818182,0.042735042735042736,3,0.027168640475462136,0.082790195998181,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
163,0,0.08248502083910322,0.23863636363636365,0.08547008547008546,6,0.08683739020233362,0.07259109619757234,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
164,1,0.06830362269401982,0.39749536178107603,0.08547008547008546,6,0.08605952016781017,0.06892707639836289,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
165,1,0.05832922405582313,0.3068181818181818,0.06837606837606837,6,0.12689769698029105,0.03819918144611187,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
166,0,0.10109227973709631,0.9090909090909091,0.08547008547008546,6,0.08683739020233362,0.08248941826704446,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
167,1,0.05874127763629855,0.8295454545454546,0.06837606837606837,6,0.12689769698029105,0.047748976807639835,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
168,0,0.09502090665297659,0.6704545454545454,0.042735042735042736,3,0.02854520823318621,0.07620042911113444,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
169,0,0.04766176480522025,0.39749536178107603,0.03418803418803419,6,0.06260542761001618,0.05910466295868752,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
170,0,0.06785374124386143,0.8181818181818182,0.10256410256410257,6,0.12939299916968933,0.07475122723615629,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
171,0,0.07216341639703051,0.39749536178107603,0.025641025641025647,3,0.022558231001179915,0.06362245076433344,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
172,1,0.051168948722971654,0.4772727272727273,0.042735042735042736,6,0.056592230039767516,0.057696680309231474,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
173,1,0.06497206817122515,0.2727272727272727,0.08547008547008546,6,0.11299654765546477,0.06362245076433344,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
174,1,0.06302393288255123,0.8522727272727273,0.08547008547008546,6,0.08679368963859635,0.049003917864763706,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
175,0,0.11658684535831774,0.6477272727272727,0.042735042735042736,6,0.05309618494078573,0.12925426477069998,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
176,0,0.10133140591330662,0.75,0.21367521367521364,6,0.1779355853690513,0.13958559250708363,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
