idPrestamo,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,person_gender,credit_history_marital_status,var_max_sbs_qual_12m,person_degree_type_desc,default_request_term,default_request_amount
LIBDISP0856419790,0,754.41,,"4,200",12,"1,091.59",2853.701667,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP8352373062,0,"1,391.33",7,"7,500",12,"1,998.57",5111.92,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP1257548122,0,518.45,44,"1,300",3,112.89,2953.435,MALE,S,CPP,Carrera TÃƒÂ©cnica,1,0
LIBDISP4369948066,1,717.83,73,"5,000",12,"1,515.20",2608.258333,MALE,S,CPP,Universitaria,0,0
LIBDISP3716414683,0,818.05,12,"2,500",6,344.9,2726.83,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP4995512995,0,710.27,36,"2,500",6,360.78,3278.666667,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP6863195017,0,400,4,"2,000",6,290.75,8247.501667,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP2975324727,1,381.15,6,"3,500",12,"1,073.54",1270.5,MALE,S,NORMAL,Universitaria,0,0
LIBDISP1741969492,0,"1,432.19",4,"5,000",12,"1,515.20",5413.666667,MALE,C,NORMAL,Universitaria,0,0
LIBDISP9492527548,1,450,3,"1,100",3,96.95,2534,MALE,S,NORMAL,Universitaria,0,0
LIBDISP9027665534,1,497.23,77,"1,000",3,84.99,2386.265,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP7691647341,0,504.76,77,"1,000",3,88.14,2128.315,MALE,S,NORMAL,Secundaria,1,0
LIBDISP3019413859,1,443.08,17,"2,200",6,304.46,2653.595,MALE,S,NORMAL,Secundaria,1,0
LIBDISP5457057859,0,535.79,23,"1,000",3,88.14,2143.166667,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP3248933103,0,464.12,14,"2,000",6,277.51,2562.14,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP4742702017,0,509.33,74,"2,500",6,360.78,2532.436667,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP0123321762,0,468.57,14,"1,000",3,84.99,1874.273333,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP3810997248,0,409.83,14,"2,000",6,375.18,1761.375,FEMALE,S,NORMAL,Universitaria,1,0
